recording_id,source_file,label,Ax_mean,Ax_std,Ax_min,Ax_max,Ax_range,Ax_rms,Ay_mean,Ay_std,Ay_min,Ay_max,Ay_range,Ay_rms,Az_mean,Az_std,Az_min,Az_max,Az_range,Az_rms,Gx_mean,Gx_std,Gx_min,Gx_max,Gx_range,Gx_rms,Gy_mean,Gy_std,Gy_min,Gy_max,Gy_range,Gy_rms,Gz_mean,Gz_std,Gz_min,Gz_max,Gz_range,Gz_rms,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_range,acc_mag_rms,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max,gyro_mag_range,gyro_mag_rms,jerk_mean,jerk_std,jerk_max
normal_001,dataset\normal\normal_001.csv,NORMAL,-4281.56,1838.2018948962052,-8332.0,-1144.0,7188.0,4659.478751963571,15534.12,1101.2653747394404,12304.0,22184.0,9880.0,15573.10725577911,511.32,2813.363712284638,-6332.0,10200.0,16532.0,2859.4516117605485,1638.77,5642.786304397855,-12781.0,17350.0,30131.0,5875.9343418727885,313.71,3968.7762101055782,-8220.0,15826.0,24046.0,3981.155431529897,-299.87,1752.797145450665,-5371.0,3416.0,8787.0,1778.2631554412862,16459.338907351867,1224.3521114994696,14218.562515247451,25287.670038973534,11069.107523726085,16504.813702674746,5715.589099187029,4568.420302386198,502.2708432708393,18510.683536811925,18008.412693541086,7316.995476970039,2.934563296425334,1397.8945403885743,8449.499592039585
normal_001,dataset\normal\normal_001.csv,NORMAL,-7296.92,1969.9830541403144,-11064.0,-2996.0,8068.0,7558.166095025962,15156.96,1197.8634473094169,12304.0,22184.0,9880.0,15204.220245708097,-1067.88,2222.024767098693,-6332.0,10200.0,16532.0,2465.311696317526,-1037.27,5062.138038131713,-12781.0,15414.0,28195.0,5167.317541045837,1285.98,4041.28383803959,-8220.0,15826.0,24046.0,4240.957394268422,-3740.14,3302.0003786189973,-9102.0,3416.0,12518.0,4989.173651016769,17106.258750420307,1322.0670647393888,14218.562515247451,25287.670038973534,11069.107523726085,17157.271046410613,7926.239696306011,2598.743578482262,2769.650158413513,18510.683536811925,15741.033378398412,8341.387409178404,-32.31317805069456,1443.8335500858511,8449.499592039585
normal_001,dataset\normal\normal_001.csv,NORMAL,-8248.96,2017.3817582202928,-12100.0,-3300.0,8800.0,8492.065133994203,12947.48,2403.799502787202,8372.0,16920.0,8548.0,13168.731541040694,13.44,1437.0129597188743,-3272.0,2572.0,5844.0,1437.0758087171323,-2268.47,1346.006214361583,-4150.0,1028.0,5178.0,2637.7431395039207,1383.32,2834.7770454834717,-4924.0,5308.0,10232.0,3154.2883698228984,-3339.35,5735.311641707014,-9840.0,8381.0,18221.0,6636.645089953206,15476.150184576738,2843.347144550818,9035.763609125685,19187.440892417104,10151.67728329142,15735.17866183921,7628.002606781677,1663.086970345188,3712.141295802195,10881.18421864091,7169.042922838715,7807.194248896334,10.494014300531434,575.8965001582632,2478.3755684679527
normal_001,dataset\normal\normal_001.csv,NORMAL,-8511.0,2298.1958402190185,-12760.0,-3300.0,9460.0,8815.828101772402,12725.4,2224.1646971391306,8372.0,15816.0,7444.0,12918.30924540824,982.4,1026.188598650365,-1084.0,4096.0,5180.0,1420.6240882091222,1056.72,2782.002153413976,-4061.0,5948.0,10009.0,2975.935674708041,-1309.2,3513.184435807492,-6424.0,5308.0,11732.0,3749.1958497789897,3554.39,6170.369896359536,-9840.0,9722.0,19562.0,7120.8955146105045,15449.626307552786,2815.8051489712493,9035.763609125685,18817.97523645942,9782.211627333736,15704.130401903823,8341.664038572817,2009.0934914983568,3712.141295802195,11243.014898148984,7530.873602346788,8580.199041397584,8.50493194535145,437.17554350441134,1152.9016987887044
normal_001,dataset\normal\normal_001.csv,NORMAL,-7996.96,1889.0856302454904,-12760.0,-5348.0,7412.0,8217.056270952513,15113.28,869.4211186760995,12624.0,16372.0,3748.0,15138.266923264368,227.76,1148.517071009395,-1636.0,4096.0,5732.0,1170.882607266843,887.36,3256.863072098672,-5214.0,5948.0,11162.0,3375.5836295372687,-489.51,3728.135076670372,-6424.0,7907.0,14331.0,3760.134464350976,2909.09,5232.931998593141,-5800.0,9722.0,15522.0,5987.184808405366,17253.262915316143,618.8893721631772,15766.511345253268,18817.97523645942,3051.4638912061528,17264.359393849514,7255.462075208771,2955.98173796917,1911.9594660975424,11243.014898148984,9331.055432051442,7834.510703292197,-1.4336553363914344,296.3458381581173,698.2944445690737
normal_001,dataset\normal\normal_001.csv,NORMAL,-7448.44,1086.9075243092211,-9400.0,-5348.0,4052.0,7527.325315143487,15006.52,1441.4258113409792,10108.0,16372.0,6264.0,15075.587911587396,-216.64,557.9372638567888,-1636.0,564.0,2200.0,598.5205760874057,-1709.11,2027.3795002169677,-5214.0,3068.0,8282.0,2651.664501779967,3268.46,2438.33305526542,-3536.0,7907.0,11443.0,4077.78111967771,-4581.29,3915.5183495802953,-9363.0,4057.0,13420.0,6026.566353239628,16823.837215001804,1118.3494637725237,12967.82849979132,18631.34477164759,5663.51627185627,16860.96688093539,7243.6078483406945,2740.3048807490554,1911.9594660975424,10686.231328209213,8774.27186211167,7744.619132016758,-30.899433673925195,238.3780406305284,527.4121631528469
normal_001,dataset\normal\normal_001.csv,NORMAL,-8801.24,1267.8967396440453,-11196.0,-6772.0,4424.0,8892.096922548697,12630.16,2308.9829740385703,8996.0,16160.0,7164.0,12839.483790246397,469.24,640.0844181824768,-708.0,2032.0,2740.0,793.6587679853351,-1224.77,1284.7211670631102,-4552.0,312.0,4864.0,1774.9845154254162,1064.48,3620.8100930040505,-5654.0,7270.0,12924.0,3774.040725800399,-2490.02,5691.744182550724,-9363.0,5741.0,15104.0,6212.5800952583295,15499.04281018938,2081.177043866514,11565.363461647024,18631.34477164759,7065.981310000567,15638.14649886616,7071.898128857104,2445.0688589623346,1486.3599833149435,10592.31145690118,9105.951473586236,7482.653598156205,-8.267894416669003,273.0260856278096,967.1187301281044
normal_001,dataset\normal\normal_001.csv,NORMAL,-8495.4,1874.684517458871,-11288.0,-4992.0,6296.0,8699.785238728598,12743.96,2268.563492256719,8996.0,16844.0,7848.0,12944.29978021214,1341.32,1011.2500074660072,-708.0,3732.0,4440.0,1679.8112751139636,1368.34,2388.901191845322,-1784.0,5444.0,7228.0,2753.035281285004,-2550.15,2088.243522077825,-6102.0,1751.0,7853.0,3296.0622005660025,4721.57,3480.508282578853,-6093.0,9421.0,15514.0,5865.761772353187,15564.760389836396,1949.65636125445,11565.363461647024,18382.85026866073,6817.486807013709,15686.3930181543,6852.794298902244,2426.8499658884816,1486.3599833149435,11004.991867330024,9518.631884015082,7269.827402352824,48.28762275490024,296.22256603755494,967.1187301281044
normal_001,dataset\normal\normal_001.csv,NORMAL,-7283.4,1433.6896595846677,-11288.0,-4992.0,6296.0,7423.165200909919,15327.04,1303.152008938328,12648.0,17412.0,4764.0,15382.339234329738,699.6,1402.032866947134,-1340.0,3732.0,5072.0,1566.8874624554246,1626.27,2623.782120737162,-3806.0,5444.0,9250.0,3086.9056885496198,-886.8,3311.889077248814,-6102.0,4250.0,10352.0,3428.559974683249,2466.33,5805.669188052312,-8889.0,9421.0,18310.0,6307.818829833336,17132.461780162368,808.4748550669887,15367.572091908338,18620.15252354287,3252.580431634533,17151.52699441073,7434.222042678963,2409.3424912507207,1370.1218923876809,11004.991867330024,9634.869974942343,7814.895304481052,17.675884857934662,289.6184046425398,833.2309798330061
normal_001,dataset\normal\normal_001.csv,NORMAL,-6946.32,758.7157950115445,-8872.0,-5676.0,3196.0,6987.632732191926,15269.8,1309.508533763717,11324.0,17412.0,6088.0,15325.847599398869,-91.24,578.4931308148784,-1340.0,1568.0,2908.0,585.644124020723,-1821.77,2330.0521618839352,-4777.0,3456.0,8233.0,2957.6999526659224,2165.04,2345.25780211899,-4513.0,4972.0,9485.0,3191.807068104211,-4193.84,4388.513993870819,-9259.0,6905.0,16164.0,6070.201728114149,16822.765493602354,1022.817690139386,13497.394711573044,18620.15252354287,5122.757811969826,16853.830273264295,7096.882077296783,2327.495471734301,1370.1218923876809,10836.331990115474,9466.210097727791,7468.799795817264,-39.86069741951455,275.78565443550065,833.2309798330061
normal_001,dataset\normal\normal_001.csv,NORMAL,-7753.68,1504.2980747179065,-11064.0,-5676.0,5388.0,7898.257164716783,13171.52,1880.988359772596,9576.0,17220.0,7644.0,13305.15149556742,1067.2,1026.0390635838385,-404.0,3452.0,3856.0,1480.4296673601216,-2132.73,1896.8271236725816,-4777.0,3195.0,7972.0,2854.205737153508,1858.37,1667.0181022112506,-1839.0,4972.0,6811.0,2496.495225310876,-2540.54,4376.083464514817,-9259.0,4123.0,13382.0,5060.08398942152,15440.784516181047,1784.1995641921762,11324.92684303082,18399.152154379288,7074.225311348468,15543.525808515904,5721.703333829469,2691.754026586519,1361.137024696632,10836.331990115474,9475.19496541884,6323.245114654342,-18.56906749146289,366.6503318768728,1321.7813017493445
normal_001,dataset\normal\normal_001.csv,NORMAL,-8611.64,1403.2412873059286,-11512.0,-5996.0,5516.0,8725.218025929209,13043.4,1652.7118442124145,9576.0,15580.0,6004.0,13147.689530864349,1018.6,1261.351322986582,-1948.0,3452.0,5400.0,1621.2813204376346,1088.85,2277.279953694758,-3297.0,3781.0,7078.0,2524.2025097047976,-614.66,2186.444045568054,-5237.0,2885.0,8122.0,2271.198908065958,3865.95,3110.9023268980977,-4789.0,8599.0,13388.0,4962.1852736470855,15753.236073010716,1858.8372569953317,11324.92684303082,18169.66130669474,6844.734463663919,15862.525735834126,5507.593870763497,2412.3920151435545,1361.137024696632,9322.115103344306,7960.978078647673,6012.755232004709,48.93257096813358,384.2168942027994,1321.7813017493445
normal_001,dataset\normal\normal_001.csv,NORMAL,-8752.56,864.8244251869855,-11512.0,-6668.0,4844.0,8795.182081116911,14803.28,905.15737946503,12908.0,15968.0,3060.0,14830.927436947428,-357.64,965.8218626641252,-1948.0,2672.0,4620.0,1029.9117632108102,736.59,2919.1462488028924,-4636.0,3781.0,8417.0,3010.6443911561523,527.33,3430.576097552713,-5237.0,6999.0,12236.0,3470.8686650462587,994.94,6140.350113503301,-9205.0,8599.0,17804.0,6220.434480002181,17258.506550357855,718.5446202254226,15778.896792868632,18732.189621077403,2953.2928282087705,17273.458099639458,7266.088967957758,2647.3883677546387,2127.5004112808065,11680.569977531062,9553.069566250257,7733.350765353916,7.080531498496228,277.988176767595,1069.6456927101062
normal_001,dataset\normal\normal_001.csv,NORMAL,-8707.96,957.4827822995044,-10364.0,-6448.0,3916.0,8760.441806210461,13621.6,2839.4372963670107,6700.0,15968.0,9268.0,13914.39508997786,-1345.16,717.0870619387858,-2884.0,-96.0,2788.0,1524.358645463724,-1482.29,1942.7414922989624,-4636.0,3619.0,8255.0,2443.65057854023,3752.67,2682.481720552817,-2122.0,7514.0,9636.0,4612.834303332388,-5633.1,3396.934072071461,-9205.0,4494.0,13699.0,6578.067854621143,16306.169359295856,2605.42539059576,9581.874555638891,18732.189621077403,9150.315065438512,16513.007013866372,7793.022629928305,3128.808631000837,2127.5004112808065,11680.569977531062,9553.069566250257,8397.65712326956,-82.63167769260357,289.6530850587457,700.317817657844
normal_001,dataset\normal\normal_001.csv,NORMAL,-9293.68,1559.0571694456876,-12236.0,-6432.0,5804.0,9423.542179032256,11768.0,2770.4847806836983,6616.0,15824.0,9208.0,12089.723318587568,-1221.32,1121.337352271831,-2884.0,2024.0,4908.0,1658.0168877306407,-1250.57,1282.596867725787,-3579.0,2835.0,6414.0,1791.36262381462,-95.47,5320.992383860364,-10818.0,7514.0,18332.0,5321.848783082812,62.86,7258.879355685697,-8983.0,9542.0,18525.0,7259.151526177147,15157.612127387303,2821.4130707291542,9531.244619670611,18900.398302681348,9369.153683010734,15417.962807063714,8771.947020281708,2698.0142463246675,2434.983778180052,14489.00303678621,12054.019258606157,9177.49069190484,-0.973886023863841,444.13201166979087,1039.231467339101
normal_001,dataset\normal\normal_001.csv,NORMAL,-8397.04,2121.375449655247,-12236.0,-5160.0,7076.0,8660.861074974013,13811.92,2756.2780109415667,6616.0,16744.0,10128.0,14084.253709728464,354.12,1439.37936125262,-2456.0,3368.0,5824.0,1482.3002125075743,1049.38,2555.424961840985,-3579.0,4934.0,8513.0,2762.4979855196275,-4520.09,2924.930577278715,-11001.0,749.0,11750.0,5383.904948083686,5876.4,2791.234995481391,-1234.0,9718.0,10952.0,6505.618322650046,16457.59773759062,2172.880058275699,9531.244619670611,19861.916121059417,10330.671501388804,16600.419604335308,8197.646380956603,3426.2940887771315,782.6780947490481,14489.00303678621,13706.32494203716,8884.869012540365,74.94968856589698,479.8939313600869,1509.6545753667087
normal_001,dataset\normal\normal_001.csv,NORMAL,-6641.76,1035.3236896739106,-10484.0,-5160.0,5324.0,6721.96928288132,15585.44,653.5962105153304,13432.0,16744.0,3312.0,15599.138694171546,718.6,899.873479995938,-552.0,3368.0,3920.0,1151.5894407296378,106.03,3349.3004238348044,-4452.0,4934.0,9386.0,3350.978318342272,-596.06,4427.890020811267,-11001.0,5619.0,16620.0,4467.829177576063,220.18,4982.674419184942,-5159.0,9718.0,14877.0,4987.536826931707,17004.04109916369,840.680425579314,15163.782641544292,19861.916121059417,4698.133479515125,17024.81005121643,6856.009165636003,3010.185238604948,782.6780947490481,13762.382860536907,12979.70476578786,7487.728417217067,-1.292627761621414,329.16753868625256,1509.6545753667087
normal_001,dataset\normal\normal_001.csv,NORMAL,-7295.48,1093.1455756668458,-10956.0,-5832.0,5124.0,7376.923185176866,14347.52,1398.6234695585513,10720.0,18808.0,8088.0,14415.529048911108,502.64,540.0003614813604,-552.0,1716.0,2268.0,737.7312247695634,-2799.52,1128.2186000948575,-4452.0,-121.0,4331.0,3018.3090365302223,3487.82,1364.787656597172,275.0,5786.0,5511.0,3745.334924943296,-3929.04,852.4315564313654,-5579.0,-1432.0,4147.0,4020.447099515177,16163.206733413366,1233.478371492925,12614.077849767697,21798.330211279947,9184.252361512252,16210.20421833112,6065.414705402491,1585.0749103708758,1569.033460446271,8419.742573261965,6850.7091128156935,6269.108231638692,-42.91979686960921,889.9756238625695,5135.324480020056
normal_001,dataset\normal\normal_001.csv,NORMAL,-8105.96,774.5502942998602,-10956.0,-6500.0,4456.0,8142.881288585754,13077.24,1286.3987182829435,10720.0,18808.0,8088.0,13140.358734829122,1694.68,971.06672149755,4.0,3812.0,3808.0,1953.1796845144584,-1669.48,1603.4709818390852,-3826.0,3138.0,6964.0,2314.796461894652,800.97,3439.402894268132,-5502.0,5786.0,11288.0,3531.436706214625,-507.03,3233.396484982936,-5579.0,5240.0,10819.0,3272.908836188384,15513.72443842077,1454.2380440444747,12614.077849767697,21798.330211279947,9184.252361512252,15581.73463514252,5095.94072695621,1603.947700939471,2016.7996925822847,8419.742573261965,6402.94288067968,5342.402092692013,3.5273965162643544,913.1775582828776,5135.324480020056
normal_002,dataset\normal\normal_002.csv,NORMAL,-3215.48,1727.5979768453076,-7032.0,-372.0,6660.0,3650.192652450005,15589.16,1031.1396871423383,12444.0,17440.0,4996.0,15623.224973096943,-369.6,1353.407787771299,-4976.0,4612.0,9588.0,1402.9671414541397,180.68,1654.902014501161,-2564.0,3227.0,5791.0,1664.7359970878265,-528.22,2748.378949781125,-5952.0,4149.0,10101.0,2798.678834736133,-567.54,1504.1389458424376,-4009.0,2538.0,6547.0,1607.6490972846034,16057.866195145489,1233.821307484933,12639.679109850851,18573.9594055764,5934.280295725548,16105.1973524077,3437.5932783086696,1171.0837856135915,736.7645485499421,6974.699563422069,6237.935014872127,3631.595349154418,28.20572402244973,465.65871221324426,1915.1335631159964
