recording_id,true_label,n_windows,pct_predicted_FALL,pct_predicted_TWISTING,pct_correct,avg_FALL_proba,max_FALL_proba,avg_TWISTING_proba,max_TWISTING_proba,v5_saw_in_training,v5_saw_in_its_own_test,v5_never_saw_this_recording,dist_to_NORMAL_centroid,dist_to_FALL_centroid,dist_to_TWISTING_centroid,closer_to_FALL_than_NORMAL,closer_to_TWISTING_than_NORMAL,statistical_outlier_features,raw_quality_problems,saturation_pct_of_samples,saturation_max_consecutive_run,suspicion_score,classification
normal_043,NORMAL,19,42.10526315789474,10.526315789473685,42.10526315789474,0.39998769760131836,0.9749343395233154,0.13891316950321198,0.9853312969207764,False,False,True,1.8910961148082894,1.4819464497670385,2.89432775240333,True,False,,,3.1,28,115.52505215092711,POSSIBLE_MISLABEL
normal_045,NORMAL,19,21.05263157894737,31.57894736842105,42.10526315789474,0.21996119618415833,0.9802331924438477,0.2815818190574646,0.9986579418182373,False,False,True,3.5188937741202686,2.8601816963017903,1.919862270042623,True,True,acc_mag_max(z=2.54),SUSTAINED_SATURATION_IN_CALM_CLASS:31consecutive_samples,5.016666666666667,31,108.48248653411865,POSSIBLE_MISLABEL
normal_059,NORMAL,19,15.789473684210526,21.05263157894737,63.1578947368421,0.16895250976085663,0.9793070554733276,0.19677652418613434,0.9890187978744507,False,False,True,2.020572154199057,2.007495198064249,2.842289270505604,True,False,,SUSTAINED_SATURATION_IN_CALM_CLASS:60consecutive_samples,4.25,60,105.37371080800106,POSSIBLE_MISLABEL
normal_051,NORMAL,19,26.31578947368421,10.526315789473685,36.8421052631579,0.22982431948184967,0.9672223329544067,0.10726466774940491,0.9666069149971008,False,False,True,2.005026346291662,1.7638865885308015,3.1842766413181205,True,False,,,1.1666666666666667,23,97.5526105654867,POSSIBLE_MISLABEL
normal_057,NORMAL,19,21.05263157894737,15.789473684210526,52.63157894736842,0.2195364087820053,0.9616969227790833,0.19139288365840912,0.9818465113639832,False,False,True,3.0228682095403894,2.5911721041665357,1.7802779375838331,True,True,,,4.05,26,96.43112292791668,POSSIBLE_MISLABEL
normal_058,NORMAL,19,36.8421052631579,21.05263157894737,21.05263157894737,0.26554930210113525,0.5649169087409973,0.2422085851430893,0.9267346262931824,False,False,True,3.912341574586144,3.416033836734649,1.7328042601433837,True,True,,,2.966666666666667,19,96.30505308602986,POSSIBLE_MISLABEL
normal_050,NORMAL,19,15.789473684210526,21.05263157894737,57.89473684210526,0.20857369899749756,0.9676721692085266,0.1903829574584961,0.9957634210586548,False,False,True,2.4681192742332914,2.1613388485437577,2.1183765312301888,True,True,,,3.2333333333333334,25,94.5432078210931,POSSIBLE_MISLABEL
normal_030,NORMAL,8,37.5,12.5,50.0,0.23950126767158508,0.6218491196632385,0.1014515832066536,0.7921255230903625,False,True,False,3.526676743131132,2.5785125693627124,2.717757803098329,True,True,jerk_max(z=3.47),,3.006012024048096,27,93.81647524833679,DIFFICULT_BUT_VALID_DATA
normal_056,NORMAL,19,36.8421052631579,0.0,63.1578947368421,0.4115866720676422,0.9577006101608276,0.0010154355550184846,0.0028753920923918486,False,False,True,1.1447519927262,1.3510890087031724,3.9576620206916124,False,False,,,1.0666666666666667,21,81.50763751143883,DIFFICULT_BUT_VALID_DATA
normal_060,NORMAL,19,31.57894736842105,0.0,68.42105263157895,0.3386228084564209,0.9447591304779053,0.006792251020669937,0.07980159670114517,False,False,True,1.0364774403203767,1.738996558824622,3.759735236530197,False,False,,,0.4666666666666667,14,75.16534452156017,DIFFICULT_BUT_VALID_DATA
normal_039,NORMAL,9,33.333333333333336,0.0,66.66666666666667,0.3063412308692932,0.7363142371177673,0.04613952711224556,0.1514357626438141,False,False,True,2.3054165556131525,1.6750469516117368,2.556124269529457,True,False,,,2.9,29,74.51461807092032,POSSIBLE_MISLABEL
normal_044,NORMAL,19,21.05263157894737,0.0,73.6842105263158,0.21331410109996796,0.9293590188026428,0.03124760277569294,0.21258629858493805,False,False,True,1.7501980495189855,1.9088503743242289,2.8100313767451737,False,False,,,0.95,14,66.67871830275185,DIFFICULT_BUT_VALID_DATA
normal_020,NORMAL,38,23.68421052631579,0.0,76.3157894736842,0.24111776053905487,0.9871275424957275,0.00042688410030677915,0.004259215202182531,False,True,False,1.193229920654358,2.2824022954214414,5.611385332025492,False,False,,,0.0750375187593797,5,64.75449653018855,DIFFICULT_BUT_VALID_DATA
