recording_id,source_file,label,Ax_mean,Ax_std,Ax_min,Ax_max,Ax_range,Ax_rms,Ay_mean,Ay_std,Ay_min,Ay_max,Ay_range,Ay_rms,Az_mean,Az_std,Az_min,Az_max,Az_range,Az_rms,Gx_mean,Gx_std,Gx_min,Gx_max,Gx_range,Gx_rms,Gy_mean,Gy_std,Gy_min,Gy_max,Gy_range,Gy_rms,Gz_mean,Gz_std,Gz_min,Gz_max,Gz_range,Gz_rms,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_range,acc_mag_rms,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max,gyro_mag_range,gyro_mag_rms,jerk_mean,jerk_std,jerk_max
normal_002,dataset\normal\normal_002.csv,NORMAL,-6466.24,2159.25819262079,-9528.0,704.0,10232.0,6817.232259502385,13318.64,1842.7945057439256,9544.0,16672.0,7128.0,13445.522044160278,-1481.84,1439.2385119916712,-5828.0,988.0,6816.0,2065.734077755412,-371.98,2149.212004340195,-3791.0,3348.0,7139.0,2181.1651381773,-1903.75,3928.817029017768,-10848.0,5149.0,15997.0,4365.760793951038,684.59,6833.120707400097,-13983.0,8745.0,22728.0,6867.328597788226,15083.80510606585,2000.699758140083,11095.280438096192,17764.62642444248,6669.345986346287,15215.91193455062,7479.440027193993,3877.567229540749,1597.315247532559,14390.624204668817,12793.308957136258,8424.817549359748,52.36515127796433,543.7075242267243,2142.8316004740227
normal_002,dataset\normal\normal_002.csv,NORMAL,-5825.12,2188.3021422098,-9528.0,-1820.0,7708.0,6222.595059940828,15793.96,1343.962320305149,12980.0,18088.0,5108.0,15851.038048027012,-955.16,1165.0031821415766,-3984.0,2792.0,6776.0,1506.5069000837666,1679.43,2351.623104389817,-2120.0,5799.0,7919.0,2889.743301748444,-2896.29,4078.505521131484,-10848.0,6012.0,16860.0,5002.269789805424,4666.72,3515.6228668046865,-6107.0,8745.0,14852.0,5842.763019325703,17073.697462004537,857.0382114817884,15479.67596560083,19200.028333312428,3720.352367711597,17095.19404745088,7683.152927098156,2912.1058014472983,1897.499934123846,13103.326753157002,11205.826819033156,8216.519889831703,28.89694033440754,586.3867865891601,3660.1209976813698
normal_002,dataset\normal\normal_002.csv,NORMAL,-5393.76,1891.5540548448516,-10728.0,-1820.0,8908.0,5715.822222567808,16344.24,1344.5177359930958,11048.0,18088.0,7040.0,16399.44843950552,-1823.92,987.7951172181406,-4204.0,2792.0,6996.0,2074.2283770115578,-1052.21,4430.351388535677,-7446.0,5799.0,13245.0,4553.5875208455145,2328.59,4521.153682623496,-6857.0,8940.0,15797.0,5085.583743288474,-4270.35,7772.949995175576,-13709.0,7115.0,20824.0,8868.745162084657,17461.90597203718,998.3967065912636,12735.603008888114,19200.028333312428,6464.425324424314,17490.424699246156,10425.867129090424,4068.692256309369,2099.5187543815846,17130.236921887565,15030.71816750598,11191.646977545352,-9.140269541640082,835.895850540312,3660.1209976813698
normal_002,dataset\normal\normal_002.csv,NORMAL,-9134.76,3297.7654347148464,-15392.0,-4252.0,11140.0,9711.80195020471,13456.36,2775.5109710465927,9160.0,17632.0,8472.0,13739.617374585072,-2184.44,829.4942835246064,-4224.0,-212.0,4012.0,2336.629812357961,-2533.0,3000.23735727692,-7446.0,2419.0,9865.0,3926.514128333171,3597.01,2550.832740479077,-1405.0,8940.0,10345.0,4409.674433560827,-7364.84,4710.798345758391,-13709.0,1509.0,15218.0,8742.567659446508,16916.629307932035,1543.9153014381686,12735.603008888114,20195.673992219225,7460.07098333111,16986.93679272399,9052.132369619065,5417.945242699925,347.1843890499687,17130.236921887565,16783.052532837595,10549.655496270956,-10.10099308976178,778.1658905431692,2810.654161247725
normal_002,dataset\normal\normal_002.csv,NORMAL,-12327.84,2073.8242872529004,-15392.0,-7480.0,7912.0,12501.055405044808,7973.04,3492.396065511471,1268.0,13048.0,11780.0,8704.37804326076,-3230.32,1687.8057878796362,-7788.0,-1144.0,6644.0,3644.674975906631,263.92,1215.7544215835696,-3509.0,2419.0,5928.0,1244.07097064436,3425.33,2598.215999700564,-2462.0,8407.0,10869.0,4299.257143972665,-4194.18,2361.4012889807614,-9431.0,1509.0,10940.0,4813.248582818053,15581.809853180705,1591.678591714004,12476.32958846471,20195.673992219225,7719.344403754514,15662.893699441363,5896.099334967139,2904.255347279244,347.1843890499687,10948.398878374865,10601.214489324895,6572.570767211259,-18.517539275695693,642.6195136330231,1924.7344032156248
normal_002,dataset\normal\normal_002.csv,NORMAL,-13151.64,774.456215934768,-14896.0,-11552.0,3344.0,13174.422838211927,3844.44,1904.2862721765337,1268.0,8808.0,7540.0,4290.224367093171,-5165.84,1509.1843010050166,-7788.0,-1364.0,6424.0,5381.778531303569,-125.78,1014.5492258141052,-2168.0,2109.0,4277.0,1022.3163600373418,1743.21,4078.8545114897142,-4895.0,8407.0,13302.0,4435.745171896149,-1185.14,4824.723364131874,-7440.0,10792.0,18232.0,4968.14979242776,14837.32481413076,888.1299229164415,12476.32958846471,16877.584661319284,4401.255072854574,14863.881807926218,5893.602923516765,3266.331720740353,578.2075751838607,11438.095121129218,10859.887545945356,6738.210320997705,-23.976014926295417,515.3697225930281,1588.653652342009
normal_002,dataset\normal\normal_002.csv,NORMAL,-12373.76,1655.4794660158125,-14896.0,-6104.0,8792.0,12484.011727005069,6647.68,4307.587303537794,1604.0,14924.0,13320.0,7921.297732063856,-4542.36,1664.0318357531503,-7564.0,-1028.0,6536.0,4837.565123075864,375.49,1381.631075902681,-2168.0,3406.0,5574.0,1431.7461960836497,-2862.38,1924.9547671568805,-6691.0,679.0,7370.0,3449.4449002701867,5778.93,4075.9140306316567,-1809.0,11719.0,13528.0,7071.711753882507,15505.26361328331,1259.501156248999,12995.369636912988,18928.52281611008,5933.153179197094,15556.334493703844,7025.160680816585,3821.621622912013,578.2075751838607,12526.10446228196,11947.8968870981,7997.354213738441,31.232025010023644,512.6578130380153,1900.2225942058396
normal_002,dataset\normal\normal_002.csv,NORMAL,-8607.64,3360.909881326781,-13552.0,-3680.0,9872.0,9240.51847030241,13280.16,3383.68806694707,5676.0,17368.0,11692.0,13704.451632954891,-2809.12,754.0849989225352,-4568.0,-1028.0,3540.0,2908.573423518822,1140.31,935.7107960796436,-719.0,3406.0,4125.0,1475.080197819766,-4002.06,1607.1936088723105,-7205.0,145.0,7350.0,4312.720201914332,8688.64,1494.009561682923,5640.0,11719.0,6079.0,8816.151633224103,16735.736396689506,1254.6325280822773,14227.44952547715,19414.19975172812,5186.750226250966,16782.698695978546,9809.649267456813,1506.8934930790726,6214.046185859902,12526.10446228196,6312.058276422057,9924.713937942995,25.613276869695163,573.103850137515,1900.2225942058396
normal_002,dataset\normal\normal_002.csv,NORMAL,-4562.76,1814.0371502259811,-10348.0,-2420.0,7928.0,4910.143541689999,16663.76,1060.5384021335578,13392.0,18420.0,5028.0,16697.474031721085,-2252.52,584.7213777518315,-3384.0,-704.0,2680.0,2327.1754209771125,-303.35,1378.8907090484004,-2749.0,2625.0,5374.0,1411.8643029696586,-383.7,4237.469413458934,-7205.0,6903.0,14108.0,4254.805838108245,3171.94,6406.9505130288,-7221.0,11376.0,18597.0,7149.141084074367,17538.924422653512,846.7728009615023,15003.151135678132,19414.19975172812,4411.048616049984,17559.35346417971,8165.363715614601,2129.2691614083265,4696.547881156967,11897.85484866915,7201.306967512183,8438.421165715776,-17.27618220402284,357.7689578738595,988.3954313712312
normal_003,dataset\normal\normal_003.csv,NORMAL,1118.48,557.8879543420883,164.0,2404.0,2240.0,1249.8945875552863,16125.28,1372.6281803897225,13704.0,18344.0,4640.0,16183.59549667502,-2935.6,1401.8083749214798,-5492.0,-380.0,5112.0,3253.1237418825617,-1532.32,2542.2955724305543,-5075.0,3239.0,8314.0,2968.378574238805,1505.27,2732.9046373958968,-2938.0,6350.0,9288.0,3120.032937326143,-693.1,1043.4247505210906,-2738.0,1416.0,4154.0,1252.6463267818256,16514.431478253664,1152.114017823088,14301.72409187088,18388.538169196592,4086.814077325711,16554.570781509257,3857.418708326594,2288.082301546863,552.5296372141498,8194.48997802792,7641.960340813769,4484.974883987647,15.108367450651585,167.6913491041514,762.7427254284776
